file_name,document_type,responsible_owner,type,value,score
expense_report_finding_0001.pdf,Expense Report,Anna Keller,PERSON,Maria Schmidt,0.85
expense_report_finding_0001.pdf,Expense Report,Anna Keller,DATE_TIME,07 Feb 2020,0.85
expense_report_finding_0001.pdf,Expense Report,Anna Keller,PERSON,Maria Schmidt,0.85
expense_report_finding_0001.pdf,Expense Report,Anna Keller,PERSON,Laura König,0.85
expense_report_finding_0001.pdf,Expense Report,Anna Keller,DATE_TIME,09 Feb 2020,0.85
expense_report_finding_0001.pdf,Expense Report,Anna Keller,PHONE_NUMBER,+49 151 2345 7821,0.75
expense_report_finding_0001.pdf,Expense Report,Anna Keller,URL,maria.sc,0.5
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,IP_ADDRESS,192.168.12.34,0.95
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,PERSON,Elena Fischer,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,ORGANIZATION,Project Management,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,DATE_TIME,Mar 2020,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,PERSON,efischer08,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,DATE_TIME,192.168.12.34,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,PERSON,Philipp Neumann,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,DATE_TIME,Mar 2020,0.85
expense_report_finding_0002.pdf,Expense Report,Maria Schmidt,URL,elena.fi,0.5
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,PERSON,Jonas Keller,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,ORGANIZATION,Project Management,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,DATE_TIME,Apr 2020,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,PERSON,Jonas Keller,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,LOCATION,Cologne,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,LOCATION,Germany,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,PERSON,Philipp Neumann,0.85
expense_report_finding_0003.pdf,Expense Report,Tom Nguyen,DATE_TIME,Apr 2020,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,PERSON,Nina Beck,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,LOCATION,E-20739,0.85
expense_report_finding_0004.pdf,Expense Report,Max Wagner,ORGANIZATION,Project Management,0.85
